job_title,Industry,avg_salary,job_state,python_yn,R_yn,aws,excel
Data Scientist,Accounting,113.5, CA,1,0,0,0
Data Scientist,Advertising & Marketing,161.5, NJ,1,0,1,1
Data Scientist,Advertising & Marketing,161.5, NJ,1,0,1,1
Data Scientist,Advertising & Marketing,164.5, CA,0,0,0,0
Data Scientist,Advertising & Marketing,164.5, CA,0,0,0,0
Data Analyst,Advertising & Marketing,56.5, PA,0,0,0,1
Data Scientist,Advertising & Marketing,56.5, MA,1,0,0,0
Data Analyst,Advertising & Marketing,65.5, WA,1,0,1,1
Data Engineer,Advertising & Marketing,71.5, FL,1,0,1,1
Data Engineer,Advertising & Marketing,71.5, FL,1,0,1,1
Data Analyst,Advertising & Marketing,87.5, MI,0,0,0,1
Data Analyst,Advertising & Marketing,87.5, MI,0,0,0,1
Data Scientist,Advertising & Marketing,83.5, TX,1,0,0,1
Data Scientist,Advertising & Marketing,87.5, IL,0,0,0,0
Data Scientist,Advertising & Marketing,91, FL,1,0,0,1
Data Scientist,Advertising & Marketing,91, FL,1,0,0,1
Data Scientist,Advertising & Marketing,96.5, OR,1,0,0,0
Data Scientist,Advertising & Marketing,100, OH,1,0,0,1
Data Scientist,Advertising & Marketing,104.5, NY,1,0,1,1
Data Scientist,Advertising & Marketing,104.5, NY,1,0,1,1
Data Engineer,Advertising & Marketing,114, CA,1,0,0,0
Data Engineer,Advertising & Marketing,114, CA,1,0,0,0
Data Scientist,Advertising & Marketing,110, TX,0,0,0,0
Data Scientist,Advertising & Marketing,114.5, NY,1,0,0,1
Data Scientist,Advertising & Marketing,114, NJ,1,0,1,1
Data Engineer,Advertising & Marketing,134, NC,0,0,1,0
Data Scientist,Aerospace & Defense,130, MD,1,0,0,1
Data Scientist,Aerospace & Defense,173, CA,1,0,0,0
Data Scientist,Aerospace & Defense,173, CA,1,0,0,0
Data Scientist,Aerospace & Defense,68, AL,1,0,0,1
Data Analyst,Aerospace & Defense,59, AL,1,0,0,1
Data Analyst,Aerospace & Defense,59, AL,1,0,0,1
Data Analyst,Aerospace & Defense,62.5, AL,0,0,0,1
Data Analyst,Aerospace & Defense,62.5, AL,0,0,0,1
Data Scientist,Aerospace & Defense,72, NM,1,0,0,1
Data Scientist,Aerospace & Defense,86.5, OH,0,0,0,0
